route,start_stop_code_lbsl,end_stop_code_lbsl
210,35214,35216
210,35216,15746
210,15746,35326
210,35326,35205
210,35205,15916
210,15916,15915
210,15915,14461
210,14461,BP2776
210,BP2776,17256
210,17256,14130
210,14130,29698
210,29698,17258
210,17258,29181
210,29181,20364
210,20364,17259
210,17259,635
210,635,17261
210,17261,70229
210,70229,17264
210,17264,9446
210,9446,14618
210,14618,14616
210,14616,14612
210,14612,34429
210,34429,529
210,529,17472
210,17472,16076
210,16076,35361
210,35361,1547
210,1547,1549
210,1549,18215
210,18215,34354
210,34354,29688
210,29688,15171
210,15171,BP4240
UL1,11444,11440
UL1,11440,11432
UL1,11432,330
UL1,330,10010
UL1,10010,10003
UL1,10003,17954
UL1,17954,2094
UL1,2094,BP4921
UL1,BP4921,10261
UL1,10261,34792
UL1,34792,34729
366,BP5303,HC160
366,HC160,HC161
366,HC161,HC162
366,HC162,15473
366,15473,20977
366,20977,19339
366,19339,19337
366,19337,13427
366,13427,19335
366,19335,19333
366,19333,19331
366,19331,15440
366,15440,FC03
366,FC03,FC60
366,FC60,FC45
366,FC45,HC163
366,HC163,OC669
366,OC669,HC164
366,HC164,HC165
366,HC165,33349
366,33349,BP2890
366,BP2890,BP2889
366,BP2889,BP2888
366,BP2888,BP2887
366,BP2887,9550
366,9550,9548
366,9548,9544
366,9544,BP097
366,BP097,LE142
366,LE142,LE138
366,LE138,1904
366,1904,BP5653
366,BP5653,BP1640
366,BP1640,BP1995
366,BP1995,BP556
366,BP556,BP1994
366,BP1994,BP4623
366,BP4623,BP5371
366,BP5371,BP5355
366,BP5355,BP3557
366,BP3557,BP771
366,BP771,LE123
366,LE123,BP092
366,BP092,20830
366,20830,R0171
366,R0171,BP5194
152,34031,10019
152,10019,9156
152,9156,18690
152,18690,18687
152,18687,10284
152,10284,17538
152,17538,33160
152,33160,19095
152,19095,19097
152,19097,18683
152,18683,1805
152,1805,18681
152,18681,18679
152,18679,18677
152,18677,35360
152,35360,26192
152,26192,18675
152,18675,1785
152,1785,18673
152,18673,18671
152,18671,18669
152,18669,18667
152,18667,18665
152,18665,18663
152,18663,18661
152,18661,20599
152,20599,BP4519
152,BP4519,BP4502
152,BP4502,BP4513
152,BP4513,BP4598
152,BP4598,BP4599
152,BP4599,BP4605
152,BP4605,BP4606
152,BP4606,BP4602
152,BP4602,12665
152,12665,25839
152,25839,25836
152,25836,BP3494
152,BP3494,25834
152,25834,BP3797
354,36951,40105
354,40105,R0558
354,R0558,34206
354,34206,R0509
354,R0509,BP4003
354,BP4003,BP4005
354,BP4005,BP4008
354,BP4008,BP4009
354,BP4009,BP4012
354,BP4012,BP4014
354,BP4014,BP4016
354,BP4016,BP4017
354,BP4017,BP4019
354,BP4019,BP4020
354,BP4020,18788
354,18788,BP671
354,BP671,1426
354,1426,20979
354,20979,1428
354,1428,19766
354,19766,1522
354,1522,BP2192
354,BP2192,BP2191
354,BP2191,BP2188
354,BP2188,BP2186
354,BP2186,35670
354,35670,17414
354,17414,20980
354,20980,BP2194
354,BP2194,BP2760
354,BP2760,6594
354,6594,6595
354,6595,BP2198
354,BP2198,BP2197
354,BP2197,BP2195
354,BP2195,BP2200
354,BP2200,BP2201
354,BP2201,19771
354,19771,17326
157,W48,17561
157,17561,2850
157,2850,3002
157,3002,3004
157,3004,3006
157,3006,3008
157,3008,3010
157,3010,2240
157,2240,2242
157,2242,19112
157,19112,19114
157,19114,19116
157,19116,19118
157,19118,19120
157,19120,27610
157,27610,19129
157,19129,19131
157,19131,19133
157,19133,14178
157,14178,29357
157,29357,29356
157,29356,33895
157,33895,16624
157,16624,6522
157,6522,6523
157,6523,6524
157,6524,6526
157,6526,6529
157,6529,6528
157,6528,20650
157,20650,6531
157,6531,6533
157,6533,6534
157,6534,6535
